
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:01:40.000 --> 00:01:44.000]   [BLANK_AUDIO]
[00:01:44.000 --> 00:01:46.000]   All right, we will call the meeting to order.
[00:01:46.000 --> 00:01:50.000]   We have a special session November 7, 2022, 5.30pm.
[00:01:50.000 --> 00:01:52.000]   All trustees are here.
[00:01:52.000 --> 00:01:54.000]   We'll proceed to the public comment section.
[00:01:54.000 --> 00:01:56.000]   [BLANK_AUDIO]
[00:01:56.000 --> 00:01:58.000]   Can you hear okay, there we go.
[00:01:58.000 --> 00:02:07.000]   Next on the agenda is the public comment period of our board meeting, while the public comment is an opportunity for individuals to directly address the Board of Trustees, it is a limited forum.
[00:02:07.000 --> 00:02:16.000]   Individuals wishing to participate must complete the request to speak form and submit it to the executive director of communications, Nicole Lyons at least 15 minutes prior to start the meeting.
[00:02:16.000 --> 00:02:22.000]   By completing the request to speak form, each speaker has acknowledged they will abide by the decorum protocols stated on such form.
[00:02:22.000 --> 00:02:33.000]   This is a special meeting of the board pursuant to district policy BED local persons who have signed up to speak during the public comment period, my only comment on items listed on the meetings posted agenda.
[00:02:33.000 --> 00:02:44.000]   Pursuant to board operating procedures, the board has allotted 30 minutes for public comment period, but the time may be adjusted the board president's discretion to allow for orderly conduct of tonight's board meeting.
[00:02:44.000 --> 00:02:49.000]   Tonight we have four speakers, so each speaker will have three minutes.
[00:02:49.000 --> 00:02:56.000]   If groups wish to speak on the same topic, the board may ask, but it's not required that a spokesperson be appointed to speak for the group.
[00:02:56.000 --> 00:03:11.000]   This is not the form to present allegations of employee misconduct, requests for employee discipline, lodging personal attacks, shaming, demeaning specific name GCIC employees, or unnecessarily disclosing private information about GCIC employees or students.
[00:03:11.000 --> 00:03:21.000]   The board will only consider personnel or student complaints that remain unresolved after they have been addressed through the grievance process and when they have been placed in the board agenda for hearing or action.
[00:03:21.000 --> 00:03:29.000]   Please see GCIC board policies DGBA employee, FNG students and families, and GF public.
[00:03:29.000 --> 00:03:35.000]   These policies are designed to secure prompt and equitable resolution of complaints and concerns by allowing for a full hearing and investigation.
[00:03:35.000 --> 00:03:40.000]   Each of these procedures allows for an individual to redress grievances with the Board of Trustees.
[00:03:40.000 --> 00:03:47.000]   In request, our executive director of communications will provide you with copies of these policies or you can find them online at the district website.
[00:03:47.000 --> 00:03:58.000]   In accordance with the Texas Open Meetings Act, the Board may not deliberate or decide any subject that is not included on the meeting's agenda and may not respond to comments made or questions asked during the public comment period.
[00:03:58.000 --> 00:04:06.000]   If an issue mentioned is listed on tonight's agenda, Board members may respond to comments when the agenda item is considered later in the meeting.
[00:04:06.000 --> 00:04:12.000]   We understand that allowing speakers to make statements during the public comment period is not an endorsement of those statements by the Board or the district.
[00:04:12.000 --> 00:04:20.000]   The statements made by the individual speaker are the opinion of that speaker and not necessarily the opinion of the Board, individual trustees or the district.
[00:04:20.000 --> 00:04:23.000]   We will call persons to speak in the order we receive their forms.
[00:04:23.000 --> 00:04:29.000]   Our first speaker tonight is Michael Quinn, please step to the microphone and state whether you're a resident of GCIC.
[00:04:36.000 --> 00:04:42.000]   Can you hear me?
[00:04:42.000 --> 00:04:48.000]   Hi, my name is Mike Quinn and I am a resident of the district.
[00:04:48.000 --> 00:04:55.000]   Regarding the presentations tonight and the decision to be made by the Board, I don't know who the firms are tonight.
[00:04:55.000 --> 00:04:58.000]   I've only over hurt one in the entryway.
[00:04:58.000 --> 00:05:01.000]   But at any rate, I'm sure they're all reputable.
